instance_index,original_test_index,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,predicted_class,prediction_score,target_credit
0,155,1,12,3,3,1282,1,3,2,1,1,4,3,20,3,1,1,3,1,1,1,1,0.31,1
1,768,2,12,5,3,3617,1,5,1,0,1,4,3,28,3,1,3,3,1,2,1,1,0.35,0
2,438,1,42,5,6,3394,1,1,4,0,2,4,3,65,3,2,2,1,1,1,1,1,0.58,0
3,555,2,12,3,4,1331,1,2,2,0,1,1,3,22,2,2,1,3,1,1,1,1,0.36,1
4,99,2,20,4,2,7057,5,4,3,0,1,4,2,36,1,1,2,4,2,2,1,1,0.27,0
5,89,1,12,1,6,1108,1,4,4,0,1,3,1,28,3,2,2,3,1,1,1,1,0.51,1
6,29,1,60,4,9,6836,1,5,3,0,1,4,4,63,3,2,2,3,1,2,1,1,0.84,1
7,466,1,24,4,4,1659,1,2,4,1,1,2,3,29,3,1,1,2,1,2,1,1,0.63,1
8,566,1,12,3,1,1372,1,4,2,0,1,3,3,36,3,2,1,3,1,1,1,1,0.41,1
9,929,1,12,4,1,1344,1,3,4,0,1,2,1,43,3,2,2,2,2,1,1,1,0.5,0
10,983,1,36,3,2,8229,1,3,2,0,1,2,2,26,3,2,1,3,2,1,1,1,0.34,1
11,958,1,28,3,1,4006,1,3,3,0,1,2,3,45,3,2,1,2,1,1,1,1,0.55,1
12,444,2,48,5,3,5096,1,3,2,1,1,3,3,30,3,2,1,4,1,2,1,1,0.43,1
13,672,4,60,3,1,10366,1,5,2,0,1,4,2,42,3,2,1,4,1,2,1,1,0.35,0
14,622,4,48,3,9,3914,5,3,4,0,1,2,1,38,1,2,1,3,1,1,1,1,0.26,1
15,416,1,12,3,1,2579,1,2,4,0,1,1,1,33,3,2,1,2,2,1,1,1,0.38,1
16,143,1,18,3,3,2462,1,3,2,0,1,2,3,22,3,2,1,3,1,1,1,1,0.3,1
17,782,2,12,1,8,1410,1,3,2,0,1,2,1,31,3,2,1,2,1,2,1,1,0.45,0
18,112,2,18,3,1,6260,1,4,3,0,1,3,1,28,3,1,1,2,1,1,1,1,0.47,0
19,339,2,10,3,3,1521,1,3,4,0,1,2,3,31,3,2,1,2,1,1,1,1,0.43,0
