instance_index,feature_name,feature_type,percentage_changed,num_changed,num_total,original_value,distribution,unique_values,average_change,min_change,max_change,std_change
0,amount,numerical,0.0,0,1,3394.0,,,,,,
0,credit_history,categorical,0.0,0,1,5.0,{},,,,,
0,duration,numerical,0.0,0,1,42.0,,,,,,
0,employment_duration,categorical,0.0,0,1,1.0,{},,,,,
0,housing,categorical,0.0,0,1,2.0,{},,,,,
0,installment_rate,numerical,0.0,0,1,4.0,,,,,,
0,job,categorical,0.0,0,1,1.0,{},,,,,
0,number_credits,numerical,0.0,0,1,2.0,,,,,,
0,other_debtors,categorical,0.0,0,1,2.0,{},,,,,
0,other_installment_plans,categorical,0.0,0,1,3.0,{},,,,,
0,people_liable,numerical,0.0,0,1,1.0,,,,,,
0,present_residence,numerical,0.0,0,1,4.0,,,,,,
0,property,categorical,0.0,0,1,3.0,{},,,,,
0,purpose,categorical,0.0,0,1,6.0,{},,,,,
0,savings,categorical,0.0,0,1,1.0,{},,,,,
0,status,categorical,100.0,1,1,1.0,"{""none"": 1}",4.0,,,,
0,telephone,categorical,0.0,0,1,1.0,{},,,,,
1,amount,numerical,0.0,0,1,1108.0,,,,,,
1,credit_history,categorical,0.0,0,1,1.0,{},,,,,
1,duration,numerical,0.0,0,1,12.0,,,,,,
1,employment_duration,categorical,0.0,0,1,4.0,{},,,,,
1,housing,categorical,0.0,0,1,2.0,{},,,,,
1,installment_rate,numerical,0.0,0,1,4.0,,,,,,
1,job,categorical,0.0,0,1,3.0,{},,,,,
1,number_credits,numerical,0.0,0,1,2.0,,,,,,
1,other_debtors,categorical,0.0,0,1,1.0,{},,,,,
1,other_installment_plans,categorical,0.0,0,1,3.0,{},,,,,
1,people_liable,numerical,0.0,0,1,1.0,,,,,,
1,present_residence,numerical,0.0,0,1,3.0,,,,,,
1,property,categorical,0.0,0,1,1.0,{},,,,,
1,purpose,categorical,0.0,0,1,6.0,{},,,,,
1,savings,categorical,0.0,0,1,1.0,{},,,,,
1,status,categorical,100.0,1,1,1.0,"{""none"": 1}",4.0,,,,
1,telephone,categorical,0.0,0,1,1.0,{},,,,,
2,amount,numerical,100.0,1,1,6836.0,,,-3879.0,-3879.0,-3879.0,0.0
2,credit_history,categorical,0.0,0,1,4.0,{},,,,,
2,duration,numerical,100.0,1,1,60.0,,,-36.0,-36.0,-36.0,0.0
2,employment_duration,categorical,0.0,0,1,5.0,{},,,,,
2,housing,categorical,0.0,0,1,2.0,{},,,,,
2,installment_rate,numerical,0.0,0,1,3.0,,,,,,
2,job,categorical,0.0,0,1,3.0,{},,,,,
2,number_credits,numerical,0.0,0,1,2.0,,,,,,
2,other_debtors,categorical,0.0,0,1,1.0,{},,,,,
2,other_installment_plans,categorical,0.0,0,1,3.0,{},,,,,
2,people_liable,numerical,0.0,0,1,1.0,,,,,,
2,present_residence,numerical,0.0,0,1,4.0,,,,,,
2,property,categorical,0.0,0,1,4.0,{},,,,,
2,purpose,categorical,100.0,1,1,9.0,"{""used car"": 1}",2.0,,,,
2,savings,categorical,0.0,0,1,1.0,{},,,,,
2,status,categorical,0.0,0,1,1.0,{},,,,,
2,telephone,categorical,0.0,0,1,2.0,{},,,,,
3,amount,numerical,0.0,0,1,1659.0,,,,,,
3,credit_history,categorical,0.0,0,1,4.0,{},,,,,
