instance_index,original_test_index,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,predicted_class,prediction_score,target_credit
0,681,4,12,3,4,2279,5,3,4,0,1,4,4,37,3,3,1,3,1,2,1,0,0.09,0
1,990,4,12,5,7,3565,5,2,2,0,1,1,2,37,3,2,2,2,2,1,1,0,0.16,0
2,155,1,12,3,3,1282,1,3,2,1,1,4,3,20,3,1,1,3,1,1,1,0,0.31,1
3,768,2,12,5,3,3617,1,5,1,0,1,4,3,28,3,1,3,3,1,2,1,0,0.35,0
4,363,4,6,3,3,1766,1,3,1,0,1,2,2,21,3,1,1,3,1,1,1,0,0.14,0
5,688,4,9,3,4,2753,2,5,3,0,2,4,3,35,3,2,1,3,1,2,1,0,0.15,0
6,555,2,12,3,4,1331,1,2,2,0,1,1,3,22,2,2,1,3,1,1,1,0,0.36,1
7,620,2,21,5,9,3652,1,4,2,0,1,3,2,27,3,2,2,3,1,1,1,0,0.21,0
8,99,2,20,4,2,7057,5,4,3,0,1,4,2,36,1,1,2,4,2,2,1,0,0.27,0
9,756,3,6,5,1,1299,1,3,1,0,1,1,1,74,3,2,3,1,2,1,2,0,0.07,0
10,428,4,9,3,3,1313,1,5,1,0,1,4,3,20,3,2,1,3,1,1,1,0,0.07,0
11,888,4,36,5,1,6614,1,5,4,0,1,4,3,34,3,2,2,4,1,2,1,0,0.19,0
12,982,3,21,3,1,2923,2,3,1,1,1,1,3,28,1,2,1,4,1,2,1,0,0.22,0
13,495,1,24,3,3,2996,5,3,2,0,1,4,3,20,3,2,1,3,1,1,1,0,0.14,1
14,175,4,30,2,2,7485,5,1,4,1,1,1,1,53,1,2,1,4,1,2,1,0,0.24,1
15,40,4,30,3,4,2333,3,5,4,0,1,2,3,30,1,2,1,4,1,1,1,0,0.23,0
16,566,1,12,3,1,1372,1,4,2,0,1,3,3,36,3,2,1,3,1,1,1,0,0.41,1
17,516,1,6,5,1,1361,1,2,2,0,1,4,1,40,3,2,1,2,2,1,2,0,0.13,0
18,983,1,36,3,2,8229,1,3,2,0,1,2,2,26,3,2,1,3,2,1,1,0,0.34,1
19,444,2,48,5,3,5096,1,3,2,1,1,3,3,30,3,2,1,4,1,2,1,0,0.43,1
20,672,4,60,3,1,10366,1,5,2,0,1,4,2,42,3,2,1,4,1,2,1,0,0.35,0
21,675,4,30,5,4,4530,1,4,4,1,1,4,3,26,3,1,1,4,1,2,1,0,0.07,0
22,622,4,48,3,9,3914,5,3,4,0,1,2,1,38,1,2,1,3,1,1,1,0,0.26,1
23,416,1,12,3,1,2579,1,2,4,0,1,1,1,33,3,2,1,2,2,1,1,0,0.38,1
24,122,4,12,3,3,1768,1,3,3,0,1,2,1,24,3,1,1,2,1,1,1,0,0.18,0
25,143,1,18,3,3,2462,1,3,2,0,1,2,3,22,3,2,1,3,1,1,1,0,0.3,1
26,782,2,12,1,8,1410,1,3,2,0,1,2,1,31,3,2,1,2,1,2,1,0,0.45,0
27,860,4,24,5,2,5804,4,3,4,0,1,2,1,27,3,2,2,3,1,1,1,0,0.05,0
28,112,2,18,3,1,6260,1,4,3,0,1,3,1,28,3,1,1,2,1,1,1,0,0.47,0
29,339,2,10,3,3,1521,1,3,4,0,1,2,3,31,3,2,1,2,1,1,1,0,0.43,0
30,645,4,36,4,9,7980,5,2,4,0,1,4,3,27,3,1,2,3,1,2,1,0,0.39,1
31,852,4,15,5,4,1471,1,3,4,0,1,4,4,35,3,3,2,3,1,2,1,0,0.1,0
32,899,1,18,3,3,4153,1,3,2,0,2,3,3,42,3,2,1,3,1,1,1,0,0.21,1
33,188,1,12,3,4,674,2,4,4,0,1,1,2,20,3,2,1,3,1,1,1,0,0.37,1
34,128,2,12,5,2,1860,1,1,4,0,1,2,3,34,3,2,2,4,1,2,1,0,0.23,0
35,878,1,9,3,1,1422,1,2,3,0,1,2,4,27,3,3,1,4,1,2,1,0,0.35,1
36,635,4,12,3,7,1393,1,5,4,0,1,4,2,47,1,2,3,3,2,2,1,0,0.12,0
37,369,2,18,3,3,3001,1,4,2,1,1,4,1,40,3,1,1,3,1,1,1,0,0.27,0
38,477,3,24,3,4,5152,1,4,4,0,1,2,3,25,1,2,1,3,1,1,1,0,0.21,0
39,709,2,9,3,4,2118,1,3,2,0,1,2,1,37,3,2,1,2,2,1,1,0,0.23,0
40,386,4,18,3,4,1126,5,2,4,1,1,2,1,21,3,1,1,3,1,2,1,0,0.06,0
41,790,2,21,3,9,1188,1,5,2,1,1,4,2,39,3,2,1,3,2,1,1,0,0.29,1
42,882,2,30,5,1,2181,5,5,4,0,1,4,1,36,3,2,2,3,1,1,1,0,0.22,0
43,489,4,6,3,1,3518,1,3,2,0,3,3,2,26,3,1,1,3,1,1,1,0,0.25,0
44,108,1,24,3,3,7721,5,2,1,1,1,2,2,30,3,2,1,3,1,2,2,0,0.38,0
45,793,3,24,3,3,2892,1,5,3,0,1,4,4,51,3,3,1,3,1,1,1,0,0.2,0
46,382,4,22,3,1,1283,5,4,4,1,1,4,2,25,3,1,1,3,1,1,1,0,0.24,0
47,875,2,11,5,1,1322,4,3,4,1,1,4,3,40,3,2,2,3,1,1,1,0,0.35,0
48,443,4,12,3,7,719,1,5,4,0,1,4,3,41,1,2,1,2,2,1,1,0,0.29,1
49,60,2,9,3,9,1391,1,3,2,0,1,1,1,27,1,2,1,3,1,2,1,0,0.25,0
50,952,2,24,3,2,4113,3,2,3,1,1,4,3,28,3,1,1,3,1,1,1,0,0.2,1
51,347,2,24,3,4,3758,3,1,1,1,1,4,4,23,3,1,1,1,1,1,1,0,0.22,0
52,571,4,30,5,4,5954,1,4,3,0,2,2,3,38,3,2,1,3,1,1,1,0,0.09,0
53,473,4,6,3,8,1238,5,1,4,0,1,4,2,36,3,2,1,4,2,2,1,0,0.17,0
54,406,4,24,5,2,2197,5,4,4,0,1,4,3,43,3,2,2,3,2,2,1,0,0.03,0
55,124,2,18,3,3,1924,5,2,4,1,1,3,1,27,3,1,1,3,1,1,1,0,0.11,1
56,536,1,6,3,1,1374,5,1,4,1,1,3,2,75,3,2,1,4,1,2,1,0,0.26,0
57,742,4,21,3,4,3160,5,5,4,0,1,3,2,41,3,2,1,3,1,2,1,0,0.04,0
58,78,4,54,1,2,9436,5,3,2,0,1,2,2,39,3,2,1,2,2,1,1,0,0.23,0
59,758,4,24,3,1,1393,1,3,2,0,3,2,1,31,3,2,1,3,1,2,1,0,0.21,0
60,603,4,36,3,3,3349,1,3,4,1,1,2,3,28,3,2,1,4,1,2,1,0,0.08,1
61,266,4,36,5,9,6304,5,5,4,0,1,4,1,36,3,2,2,3,1,1,1,0,0.08,0
62,341,1,21,3,3,3599,1,4,1,1,1,4,3,26,3,1,1,2,1,1,1,0,0.22,0
63,585,1,18,3,3,2039,1,3,1,1,1,4,1,20,1,1,1,3,1,1,1,0,0.41,1
64,498,2,18,3,4,1301,1,5,4,0,3,2,1,32,3,2,1,2,1,1,1,0,0.17,0
65,219,4,10,3,1,1364,1,3,2,1,1,4,3,64,3,2,1,3,1,2,1,0,0.16,0
66,270,4,18,3,1,2662,5,4,4,0,1,3,2,32,3,2,1,3,1,1,2,0,0.12,0
67,202,4,27,4,9,5117,1,4,3,0,1,4,3,26,3,2,2,3,1,1,1,0,0.11,0
