instance_index,original_test_index,decile1,decile3,fam_inc,lsat,ugpa,gender,race,fulltime,predicted_class,prediction_score,target_law
0,12823,3.0,1.0,2.0,34.0,3.7,0,0,2.0,1,0.51,0
1,10083,2.0,2.0,4.0,34.0,2.9,0,0,1.0,1,0.9916002814465206,0
2,3378,2.0,1.0,2.0,36.0,3.4,1,2,1.0,1,0.5177948543359533,1
3,6400,4.0,7.0,3.0,37.0,3.2,0,0,2.0,1,0.64,0
4,10483,2.0,2.0,4.0,34.0,2.9,0,3,1.0,1,0.9916002814465206,0
5,4184,9.0,9.0,4.0,40.0,3.3,1,0,1.0,1,0.5958401626042205,0
6,10723,3.0,4.0,4.0,40.0,2.8,0,3,1.0,1,0.67,0
7,18004,3.0,3.0,4.0,34.0,2.6,0,0,1.0,1,0.507226849524525,0
8,18048,7.0,7.0,4.0,40.0,2.6,1,0,1.0,1,0.72,0
9,17231,1.0,1.0,4.0,34.0,3.0,1,0,1.0,1,0.6932775262395137,1
10,17276,6.0,1.0,4.0,28.0,3.0,1,0,1.0,1,0.65,1
11,2376,1.0,2.0,2.0,32.0,3.4,0,3,1.0,1,0.5743753546027753,1
12,17670,1.0,1.0,2.0,24.0,3.0,1,3,1.0,1,0.5979630647466198,0
13,7585,1.0,4.0,4.0,25.0,2.4,1,2,2.0,1,0.57,0
14,7755,2.0,1.0,4.0,27.0,2.4,1,0,1.0,1,0.6388660424698611,1
15,17454,5.0,4.0,4.0,30.0,3.0,1,0,1.0,1,0.5306860397822571,1
16,16710,2.0,1.0,3.0,25.5,3.0,0,2,1.0,1,0.6324636482523368,1
17,15093,8.0,5.0,2.0,21.0,3.1,1,3,1.0,1,0.52,0
18,3759,1.0,4.0,3.0,24.0,3.3,0,0,2.0,1,0.51,1
19,11517,3.0,2.0,2.0,38.0,2.8,0,2,1.0,1,0.75,1
20,6894,5.0,3.0,3.0,33.0,3.2,1,0,2.0,1,0.83,0
21,9840,1.0,1.0,3.0,35.0,2.9,1,0,1.0,1,0.8210585415216488,0
22,13984,1.0,1.0,5.0,31.0,2.7,1,0,1.0,1,0.9334550662817682,1
23,14328,2.0,1.0,3.0,28.0,2.7,1,3,1.0,1,0.9575579423247741,1
24,10855,6.0,2.0,4.0,35.0,2.8,1,0,1.0,1,0.8,1
25,4259,3.0,2.0,3.0,30.5,3.3,0,0,1.0,1,0.72,1
26,13649,2.0,2.0,3.0,31.0,3.7,1,0,1.0,1,0.6741844781482897,0
27,20092,1.0,1.0,4.0,26.0,2.3,0,3,1.0,1,0.92,1
28,6318,6.0,2.0,3.0,21.3,3.2,0,1,1.0,1,0.65,1
29,1869,3.0,2.0,5.0,35.0,3.4,0,1,1.0,1,0.6045092011619347,0
30,6314,2.0,1.0,2.0,30.0,3.2,1,1,1.0,1,0.84,0
31,6661,3.0,2.0,3.0,35.5,3.2,1,0,1.0,1,0.6182750924480114,0
32,10353,3.0,2.0,3.0,29.3,2.9,0,4,1.0,1,0.7579630647466198,0
33,19741,2.0,2.0,4.0,25.0,2.5,0,3,1.0,1,0.64,0
34,18011,1.0,1.0,3.0,24.0,2.6,0,3,1.0,1,0.96,1
35,2276,1.0,1.0,4.0,26.0,3.4,0,1,1.0,1,0.5343989237457851,1
36,10037,4.0,6.0,4.0,32.5,2.9,0,0,1.0,1,0.5486216284570867,0
37,18437,2.0,1.0,3.0,31.5,2.6,0,3,1.0,1,0.95,0
38,18167,4.0,3.0,2.0,23.0,2.6,1,3,2.0,1,0.51,1
39,16278,1.0,1.0,4.0,37.0,3.1,1,0,1.0,1,0.9193989425540887,0
40,11598,2.0,1.0,3.0,36.0,2.8,1,0,1.0,1,0.6002841734982491,0
41,5477,6.0,5.0,2.0,31.0,2.2,1,3,1.0,1,0.6,1
42,133,5.0,3.0,4.0,33.0,3.5,0,1,1.0,1,0.6188660424698611,0
43,9637,1.0,2.0,3.0,33.5,2.9,0,0,1.0,1,0.5161795998582728,1
44,13939,1.0,1.0,4.0,39.0,2.7,1,3,1.0,1,0.6258002087958449,0
45,19771,1.0,1.0,3.0,37.0,2.5,1,3,1.0,1,0.6988660424698611,0
46,795,1.0,1.0,1.0,27.5,3.5,1,4,1.0,1,0.69,1
47,6325,2.0,2.0,4.0,34.0,3.2,0,0,1.0,1,0.7522218536625421,1
48,3387,2.0,1.0,2.0,35.5,3.4,1,0,1.0,1,0.563109659418823,0
49,16392,3.0,2.0,3.0,31.5,3.1,1,0,1.0,1,0.5283360943893995,0
50,4294,4.0,5.0,4.0,35.0,3.3,1,0,1.0,1,0.6880018254871204,0
51,9991,1.0,1.0,1.0,24.0,2.9,0,3,1.0,1,0.77,0
52,7338,2.0,2.0,3.0,35.0,3.2,0,0,1.0,1,0.568379457907805,0
53,7134,1.0,1.0,4.0,35.0,3.2,1,0,1.0,1,0.7293517769164278,0
54,6799,4.0,3.0,4.0,36.0,3.2,0,0,1.0,1,0.6883494219910787,0
55,7767,2.0,1.0,3.0,41.0,2.4,1,0,1.0,1,0.6188660424698611,1
56,18557,2.0,1.0,4.0,28.5,2.6,0,0,1.0,1,0.6340561237276795,0
57,16495,3.0,2.0,2.0,29.0,3.0,1,1,1.0,1,0.5260930589810598,1
58,8930,1.0,1.0,2.0,31.0,3.6,0,4,1.0,1,0.6679630647466197,0
