instance_index,original_test_index,CF_number,distance,decile1,decile3,fam_inc,lsat,ugpa,fulltime
0,12823,1,1.319090595827292,2.0,1.0,2.0,34.5,3.0,2.0
0,12823,2,1.445683229480096,3.0,1.0,3.0,34.0,3.4,1.0
0,12823,3,1.445683229480096,3.0,1.0,3.0,35.0,3.4,2.0
1,10083,1,0.10000000000000009,2.0,2.0,4.0,34.0,3.0,1.0
1,10083,2,0.10000000000000009,2.0,2.0,4.0,34.0,3.0,1.0
1,10083,3,0.10000000000000009,2.0,2.0,4.0,34.0,2.8,1.0
2,3378,1,0.19999999999999973,2.0,1.0,2.0,36.0,3.2,1.0
2,3378,2,0.3999999999999999,2.0,1.0,2.0,36.0,3.0,1.0
2,3378,3,0.7999999999999998,2.0,1.0,2.0,36.0,2.6,1.0
3,6400,1,1.004987562112089,4.0,7.0,3.0,36.0,3.3,2.0
3,6400,2,1.0440306508910548,4.0,7.0,3.0,37.0,3.5,1.0
3,6400,3,1.044030650891055,4.0,8.0,3.0,37.0,2.9,2.0
4,10483,1,0.10000000000000009,2.0,2.0,4.0,34.0,3.0,1.0
4,10483,2,0.10000000000000009,2.0,2.0,4.0,34.0,3.0,1.0
4,10483,3,0.10000000000000009,2.0,2.0,4.0,34.0,2.8,1.0
5,4184,1,0.0,9.0,9.0,4.0,40.0,3.3,1.0
5,4184,2,0.09999999999999964,9.0,9.0,4.0,40.0,3.2,1.0
5,4184,3,0.09999999999999964,9.0,9.0,4.0,40.0,3.2,1.0
6,10723,1,0.20000000000000018,3.0,4.0,4.0,40.0,3.0,1.0
6,10723,2,0.30000000000000027,3.0,4.0,4.0,40.0,3.1,1.0
6,10723,3,0.5,3.0,4.0,4.0,40.0,3.3,1.0
7,18004,1,0.10000000000000009,3.0,3.0,4.0,34.0,2.7,1.0
7,18004,2,0.19999999999999973,3.0,3.0,4.0,34.0,2.8,1.0
7,18004,3,0.19999999999999973,3.0,3.0,4.0,34.0,2.8,1.0
8,18048,1,0.10000000000000009,7.0,7.0,4.0,40.0,2.5,1.0
8,18048,2,0.19999999999999973,7.0,7.0,4.0,40.0,2.8,1.0
8,18048,3,0.20000000000000018,7.0,7.0,4.0,40.0,2.4,1.0
9,17231,1,0.0,1.0,1.0,4.0,34.0,3.0,1.0
9,17231,2,0.10000000000000009,1.0,1.0,4.0,34.0,2.9,1.0
9,17231,3,0.10000000000000009,1.0,1.0,4.0,34.0,3.1,1.0
10,17276,1,1.5362291495737217,5.0,2.0,4.0,28.0,2.4,1.0
10,17276,2,1.7435595774162693,5.0,2.0,3.0,28.0,3.2,1.0
10,17276,3,2.009975124224178,5.0,2.0,3.0,29.0,2.8,1.0
11,2376,1,0.2999999999999998,1.0,2.0,2.0,32.0,3.1,1.0
11,2376,2,1.004987562112089,2.0,2.0,2.0,32.0,3.3,1.0
11,2376,3,1.004987562112089,2.0,2.0,2.0,32.0,3.5,1.0
12,17670,1,0.10000000000000009,1.0,1.0,2.0,24.0,3.1,1.0
12,17670,2,0.20000000000000018,1.0,1.0,2.0,24.0,2.8,1.0
12,17670,3,1.0440306508910548,1.0,2.0,2.0,24.0,3.3,1.0
13,7585,1,1.5132745950421556,2.0,3.0,4.0,25.5,2.6,2.0
13,7585,2,1.7578395831246947,1.0,4.0,3.0,26.0,2.7,1.0
13,7585,3,1.7776388834631178,2.0,4.0,4.0,26.0,2.8,1.0
14,7755,1,1.0,2.0,1.0,5.0,27.0,2.4,1.0
14,7755,2,1.0,1.0,1.0,4.0,27.0,2.4,1.0
14,7755,3,1.004987562112089,2.0,1.0,5.0,27.0,2.3,1.0
15,17454,1,0.10000000000000009,5.0,4.0,4.0,30.0,2.9,1.0
15,17454,2,0.20000000000000018,5.0,4.0,4.0,30.0,3.2,1.0
15,17454,3,0.2999999999999998,5.0,4.0,4.0,30.0,2.7,1.0
16,16710,1,0.58309518948453,2.0,1.0,3.0,25.0,3.3,1.0
16,16710,2,0.8246211251235328,2.0,1.0,3.0,24.7,2.8,1.0
16,16710,3,1.118033988749895,2.0,2.0,3.0,26.0,3.0,1.0
17,15093,1,1.7435595774162693,8.0,6.0,1.0,22.0,2.9,1.0
17,15093,2,2.29128784747792,7.0,6.0,3.0,22.5,3.1,1.0
17,15093,3,2.3748684174075834,7.0,5.0,2.0,23.0,2.3,1.0
18,3759,1,1.4142135623730951,2.0,5.0,3.0,24.0,3.3,2.0
18,3759,2,1.4142135623730951,1.0,3.0,3.0,24.0,3.3,1.0
18,3759,3,1.5811388300841898,2.0,4.0,3.0,23.5,2.8,1.0
19,11517,1,1.004987562112089,3.0,2.0,3.0,38.0,2.9,1.0
19,11517,2,1.004987562112089,3.0,2.0,3.0,38.0,2.9,1.0
19,11517,3,1.004987562112089,4.0,2.0,2.0,38.0,2.7,1.0
20,6894,1,0.7000000000000002,5.0,3.0,3.0,33.0,2.5,2.0
20,6894,2,1.0,5.0,3.0,3.0,33.0,3.2,1.0
20,6894,3,1.0198039027185568,5.0,3.0,3.0,33.0,3.4,1.0
21,9840,1,0.10000000000000009,1.0,1.0,3.0,35.0,3.0,1.0
21,9840,2,0.10000000000000009,1.0,1.0,3.0,35.0,2.8,1.0
21,9840,3,0.20000000000000018,1.0,1.0,3.0,35.0,3.1,1.0
22,13984,1,0.7071067811865468,1.0,1.0,5.0,30.3,2.6,1.0
22,13984,2,1.004987562112089,1.0,1.0,5.0,32.0,2.8,1.0
22,13984,3,1.004987562112089,1.0,2.0,5.0,31.0,2.6,1.0
23,14328,1,0.5385164807134504,2.0,1.0,3.0,27.5,2.9,1.0
23,14328,2,0.5830951894845304,2.0,1.0,3.0,27.7,3.2,1.0
23,14328,3,0.8999999999999999,2.0,1.0,3.0,28.0,3.6,1.0
24,10855,1,0.7000000000000002,6.0,2.0,4.0,35.0,3.5,1.0
24,10855,2,1.004987562112089,6.0,2.0,3.0,35.0,2.9,1.0
24,10855,3,1.004987562112089,6.0,3.0,4.0,35.0,2.9,1.0
25,4259,1,0.19999999999999973,3.0,2.0,3.0,30.5,3.1,1.0
25,4259,2,0.5099019513592784,3.0,2.0,3.0,30.0,3.2,1.0
25,4259,3,0.5385164807134504,3.0,2.0,3.0,30.0,3.1,1.0
26,13649,1,0.30000000000000027,2.0,2.0,3.0,31.0,3.4,1.0
26,13649,2,0.30000000000000027,2.0,2.0,3.0,31.0,3.4,1.0
26,13649,3,0.5,2.0,2.0,3.0,31.0,3.2,1.0
27,20092,1,0.9000000000000004,1.0,1.0,4.0,26.0,3.2,1.0
27,20092,2,1.004987562112089,1.0,1.0,4.0,27.0,2.4,1.0
27,20092,3,1.118033988749895,1.0,1.0,4.0,27.0,2.8,1.0
28,6318,1,1.688194301613414,6.0,3.0,3.0,20.0,2.8,1.0
28,6318,2,2.4166091947189137,5.0,2.0,3.0,23.5,3.2,1.0
28,6318,3,2.578759391645525,4.0,3.0,4.0,22.0,3.6,1.0
29,1869,1,0.10000000000000009,3.0,2.0,5.0,35.0,3.3,1.0
29,1869,2,1.0,3.0,2.0,4.0,35.0,3.4,1.0
29,1869,3,1.0,3.0,2.0,4.0,35.0,3.4,1.0
30,6314,1,0.09999999999999964,2.0,1.0,2.0,30.0,3.3,1.0
30,6314,2,0.8000000000000003,2.0,1.0,2.0,30.0,2.4,1.0
30,6314,3,1.0,2.0,2.0,2.0,30.0,3.2,1.0
31,6661,1,0.5,3.0,2.0,3.0,36.0,3.2,1.0
31,6661,2,0.5,3.0,2.0,3.0,35.0,3.2,1.0
31,6661,3,0.5099019513592784,3.0,2.0,3.0,36.0,3.3,1.0
32,10353,1,0.3605551275463988,3.0,2.0,3.0,29.5,3.2,1.0
32,10353,2,0.3605551275463994,3.0,2.0,3.0,29.0,2.7,1.0
32,10353,3,0.44721359549995754,3.0,2.0,3.0,29.5,3.3,1.0
33,19741,1,0.7071067811865476,2.0,2.0,4.0,25.5,3.0,1.0
33,19741,2,1.2206555615733703,2.0,2.0,3.0,25.0,3.2,1.0
33,19741,3,1.2206555615733703,3.0,2.0,4.0,25.0,3.2,1.0
34,18011,1,0.6403124237432848,1.0,1.0,3.0,24.5,3.0,1.0
34,18011,2,1.0,1.0,1.0,3.0,23.0,2.6,1.0
34,18011,3,1.004987562112089,1.0,1.0,4.0,24.0,2.5,1.0
35,2276,1,0.19999999999999973,1.0,1.0,4.0,26.0,3.2,1.0
35,2276,2,1.0,1.0,1.0,4.0,25.0,3.4,1.0
35,2276,3,1.0440306508910548,1.0,1.0,3.0,26.0,3.1,1.0
36,10037,1,0.5099019513592785,4.0,6.0,4.0,33.0,3.0,1.0
36,10037,2,0.5385164807134504,4.0,6.0,4.0,33.0,2.7,1.0
36,10037,3,0.7071067811865476,4.0,6.0,4.0,33.0,3.4,1.0
37,18437,1,0.5385164807134505,2.0,1.0,3.0,32.0,2.4,1.0
37,18437,2,0.7071067811865476,2.0,1.0,3.0,31.0,3.1,1.0
37,18437,3,0.7071067811865476,2.0,1.0,3.0,31.0,3.1,1.0
38,18167,1,1.42828568570857,4.0,2.0,2.0,23.0,2.8,1.0
38,18167,2,2.039607805437114,3.0,3.0,1.0,24.0,3.0,1.0
38,18167,3,2.118962010041709,3.0,3.0,3.0,22.0,3.3,1.0
39,16278,1,0.10000000000000009,1.0,1.0,4.0,37.0,3.0,1.0
39,16278,2,0.19999999999999973,1.0,1.0,4.0,37.0,3.3,1.0
39,16278,3,0.19999999999999973,1.0,1.0,4.0,37.0,3.3,1.0
40,11598,1,0.10000000000000009,2.0,1.0,3.0,36.0,2.9,1.0
40,11598,2,0.20000000000000018,2.0,1.0,3.0,36.0,3.0,1.0
