instance_index,feature_name,feature_type,percentage_changed,num_changed,num_total,original_value,average_change,min_change,max_change,std_change,distribution,unique_values
0,decile1,numerical,0.0,0,10,3.0,,,,,,
0,decile3,numerical,0.0,0,10,1.0,,,,,,
0,fam_inc,categorical,0.0,0,10,2.0,,,,,{},
0,fulltime,categorical,0.0,0,10,2.0,,,,,{},
0,lsat,numerical,100.0,10,10,34.0,2.0,2.0,2.0,0.0,,
0,ugpa,numerical,0.0,0,10,3.7,,,,,,
1,decile1,numerical,0.0,0,10,2.0,,,,,,
1,decile3,numerical,0.0,0,10,2.0,,,,,,
1,fam_inc,categorical,0.0,0,10,4.0,,,,,{},
1,fulltime,categorical,0.0,0,10,1.0,,,,,{},
1,lsat,numerical,0.0,0,10,34.0,,,,,,
1,ugpa,numerical,100.0,10,10,2.9,-0.1,-0.1,-0.1,0.0,,
2,decile1,numerical,0.0,0,10,2.0,,,,,,
2,decile3,numerical,0.0,0,10,1.0,,,,,,
2,fam_inc,categorical,0.0,0,10,2.0,,,,,{},
2,fulltime,categorical,0.0,0,10,1.0,,,,,{},
2,lsat,numerical,0.0,0,10,36.0,,,,,,
2,ugpa,numerical,100.0,10,10,3.4,-0.2,-0.2,-0.2,0.0,,
3,decile1,numerical,0.0,0,10,4.0,,,,,,
3,decile3,numerical,0.0,0,10,7.0,,,,,,
3,fam_inc,categorical,0.0,0,10,3.0,,,,,{},
3,fulltime,categorical,0.0,0,10,2.0,,,,,{},
3,lsat,numerical,100.0,10,10,37.0,-1.0,-1.0,-1.0,0.0,,
3,ugpa,numerical,0.0,0,10,3.2,,,,,,
4,decile1,numerical,0.0,0,10,2.0,,,,,,
4,decile3,numerical,0.0,0,10,2.0,,,,,,
4,fam_inc,categorical,0.0,0,10,4.0,,,,,{},
4,fulltime,categorical,0.0,0,10,1.0,,,,,{},
4,lsat,numerical,0.0,0,10,34.0,,,,,,
4,ugpa,numerical,100.0,10,10,2.9,-0.1,-0.1,-0.1,0.0,,
5,decile1,numerical,0.0,0,10,9.0,,,,,,
5,decile3,numerical,0.0,0,10,9.0,,,,,,
5,fam_inc,categorical,0.0,0,10,4.0,,,,,{},
5,fulltime,categorical,0.0,0,10,1.0,,,,,{},
5,lsat,numerical,100.0,10,10,40.0,1.0,1.0,1.0,0.0,,
5,ugpa,numerical,0.0,0,10,3.3,,,,,,
6,decile1,numerical,0.0,0,10,3.0,,,,,,
6,decile3,numerical,0.0,0,10,4.0,,,,,,
6,fam_inc,categorical,0.0,0,10,4.0,,,,,{},
6,fulltime,categorical,0.0,0,10,1.0,,,,,{},
6,lsat,numerical,100.0,10,10,40.0,2.0,2.0,2.0,0.0,,
6,ugpa,numerical,0.0,0,10,2.8,,,,,,
7,decile1,numerical,0.0,0,10,3.0,,,,,,
7,decile3,numerical,0.0,0,10,3.0,,,,,,
7,fam_inc,categorical,0.0,0,10,4.0,,,,,{},
7,fulltime,categorical,0.0,0,10,1.0,,,,,{},
7,lsat,numerical,0.0,0,10,34.0,,,,,,
7,ugpa,numerical,100.0,10,10,2.6,0.1,0.1,0.1,0.0,,
8,decile1,numerical,0.0,0,10,7.0,,,,,,
8,decile3,numerical,0.0,0,10,7.0,,,,,,
8,fam_inc,categorical,0.0,0,10,4.0,,,,,{},
8,fulltime,categorical,0.0,0,10,1.0,,,,,{},
8,lsat,numerical,0.0,0,10,40.0,,,,,,
8,ugpa,numerical,100.0,10,10,2.6,-0.1,-0.1,-0.1,0.0,,
9,decile1,numerical,0.0,0,10,1.0,,,,,,
9,decile3,numerical,0.0,0,10,1.0,,,,,,
9,fam_inc,categorical,0.0,0,10,4.0,,,,,{},
9,fulltime,categorical,0.0,0,10,1.0,,,,,{},
9,lsat,numerical,100.0,10,10,34.0,1.0,1.0,1.0,0.0,,
9,ugpa,numerical,0.0,0,10,3.0,,,,,,
10,decile1,numerical,0.0,0,10,6.0,,,,,,
10,decile3,numerical,0.0,0,10,1.0,,,,,,
10,fam_inc,categorical,0.0,0,10,4.0,,,,,{},
10,fulltime,categorical,0.0,0,10,1.0,,,,,{},
10,lsat,numerical,100.0,10,10,28.0,10.0,10.0,10.0,0.0,,
10,ugpa,numerical,0.0,0,10,3.0,,,,,,
11,decile1,numerical,0.0,0,10,1.0,,,,,,
11,decile3,numerical,0.0,0,10,2.0,,,,,,
11,fam_inc,categorical,0.0,0,10,2.0,,,,,{},
11,fulltime,categorical,0.0,0,10,1.0,,,,,{},
11,lsat,numerical,100.0,10,10,32.0,-3.0,-3.0,-3.0,0.0,,
11,ugpa,numerical,0.0,0,10,3.4,,,,,,
12,decile1,numerical,0.0,0,10,1.0,,,,,,
12,decile3,numerical,0.0,0,10,1.0,,,,,,
12,fam_inc,categorical,0.0,0,10,2.0,,,,,{},
12,fulltime,categorical,0.0,0,10,1.0,,,,,{},
12,lsat,numerical,0.0,0,10,24.0,,,,,,
12,ugpa,numerical,100.0,10,10,3.0,0.1,0.1,0.1,0.0,,
13,decile1,numerical,0.0,0,10,1.0,,,,,,
13,decile3,numerical,0.0,0,10,4.0,,,,,,
13,fam_inc,categorical,0.0,0,10,4.0,,,,,{},
13,fulltime,categorical,0.0,0,10,2.0,,,,,{},
13,lsat,numerical,100.0,10,10,25.0,12.0,12.0,12.0,0.0,,
13,ugpa,numerical,0.0,0,10,2.4,,,,,,
14,decile1,numerical,0.0,0,10,2.0,,,,,,
14,decile3,numerical,0.0,0,10,1.0,,,,,,
14,fam_inc,categorical,0.0,0,10,4.0,,,,,{},
14,fulltime,categorical,0.0,0,10,1.0,,,,,{},
14,lsat,numerical,100.0,10,10,27.0,-4.0,-4.0,-4.0,0.0,,
14,ugpa,numerical,100.0,10,10,2.4,0.1,0.1,0.1,0.0,,
15,decile1,numerical,0.0,0,10,5.0,,,,,,
15,decile3,numerical,0.0,0,10,4.0,,,,,,
15,fam_inc,categorical,0.0,0,10,4.0,,,,,{},
15,fulltime,categorical,0.0,0,10,1.0,,,,,{},
15,lsat,numerical,100.0,10,10,30.0,-1.0,-1.0,-1.0,0.0,,
15,ugpa,numerical,0.0,0,10,3.0,,,,,,
16,decile1,numerical,0.0,0,10,2.0,,,,,,
16,decile3,numerical,0.0,0,10,1.0,,,,,,
16,fam_inc,categorical,0.0,0,10,3.0,,,,,{},
16,fulltime,categorical,0.0,0,10,1.0,,,,,{},
16,lsat,numerical,100.0,10,10,25.5,-1.5,-1.5,-1.5,0.0,,
