instance_index,original_test_index,decile1,decile3,fam_inc,lsat,ugpa,gender,race,fulltime,predicted_class,prediction_score,target_law
0,10892,3.0,3.0,5.0,30.5,2.8,0,0,1.0,0,0.1,0
1,2409,10.0,9.0,4.0,44.0,3.4,1,0,1.0,0,0.0,0
2,2559,7.0,7.0,3.0,42.0,3.4,1,0,1.0,0,0.0,0
3,6311,9.0,10.0,4.0,46.0,3.2,1,0,2.0,0,0.0,0
4,17175,4.0,3.0,3.0,32.0,3.0,1,0,1.0,0,0.04,1
5,14883,3.0,1.0,2.0,27.0,3.1,0,3,1.0,0,0.15,1
6,11083,9.0,9.0,4.0,43.0,2.8,1,0,1.0,0,0.0,0
7,1064,8.0,8.0,4.0,35.0,3.5,0,0,1.0,0,0.0,0
8,20381,8.0,10.0,4.0,38.0,2.1,1,0,2.0,0,0.06,0
9,11321,3.0,2.0,5.0,35.0,2.8,1,0,1.0,0,0.13569514968634194,1
10,6510,10.0,10.0,3.0,40.0,3.2,0,0,1.0,0,0.0,0
11,10978,1.0,1.0,3.0,48.0,2.8,1,0,1.0,0,0.2793989425540887,0
12,17910,10.0,10.0,4.0,40.0,3.0,1,0,1.0,0,0.0,0
13,17119,1.0,1.0,3.0,31.3,3.0,1,0,1.0,0,0.12,0
14,14851,2.0,4.0,5.0,42.0,3.1,0,1,1.0,0,0.0,0
15,1804,10.0,10.0,4.0,39.0,3.4,0,0,1.0,0,0.0,0
16,17128,10.0,9.0,3.0,38.0,3.0,1,0,1.0,0,0.0,0
17,20076,8.0,7.0,3.0,41.0,2.3,1,0,2.0,0,0.0,0
18,10643,7.0,7.0,3.0,42.0,2.9,0,0,1.0,0,0.0,0
19,19156,4.0,6.0,3.0,39.0,3.8,0,0,1.0,0,0.0,0
20,11811,7.0,5.0,2.0,28.5,3.9,1,0,2.0,0,0.12,0
21,14607,4.0,8.0,4.0,32.0,3.1,1,0,1.0,0,0.4868147824722216,0
22,12366,6.0,5.0,4.0,43.0,3.9,1,0,1.0,0,0.0,0
23,1821,2.0,2.0,2.0,45.0,3.4,0,2,1.0,0,0.01,0
24,11007,9.0,10.0,4.0,31.5,2.8,1,4,1.0,0,0.01,0
25,11351,9.0,10.0,4.0,40.0,2.8,1,0,1.0,0,0.0,0
26,18924,10.0,10.0,3.0,40.0,3.8,1,0,1.0,0,0.0,0
27,8171,8.0,9.0,2.0,42.0,3.6,1,0,1.0,0,0.0,0
28,11261,9.0,10.0,4.0,28.0,2.8,1,1,1.0,0,0.01,0
29,6431,9.0,5.0,3.0,41.0,3.2,1,0,1.0,0,0.0,0
30,9266,9.0,7.0,3.0,37.0,3.6,1,0,1.0,0,0.0,0
31,18000,2.0,1.0,1.0,27.0,2.6,0,3,2.0,0,0.41,1
32,16588,6.0,6.0,4.0,29.0,3.0,1,2,1.0,0,0.03796306474661977,0
33,2770,4.0,4.0,4.0,44.0,3.4,1,0,1.0,0,0.025481567584016335,0
34,6404,2.0,2.0,4.0,40.0,3.2,0,0,1.0,0,0.2271193856102609,0
35,4622,9.0,9.0,4.0,39.0,3.3,1,0,1.0,0,0.0,0
36,18863,5.0,6.0,5.0,43.0,3.8,0,0,1.0,0,0.01,0
37,1552,5.0,6.0,4.0,45.0,3.5,0,0,1.0,0,0.0,0
38,20146,8.0,8.0,4.0,48.0,2.3,0,0,2.0,0,0.0,0
39,6845,4.0,4.0,4.0,44.0,3.2,1,0,1.0,0,0.19359678023595947,0
40,4428,3.0,3.0,3.0,33.5,3.3,1,4,2.0,0,0.2337154006994203,1
41,19190,4.0,4.0,4.0,47.0,3.8,1,0,1.0,0,0.008866042469861085,0
42,2490,3.0,3.0,5.0,43.0,3.4,1,0,1.0,0,0.09007842432614226,0
43,9595,7.0,9.0,4.0,33.0,2.9,1,0,1.0,0,0.03,0
44,11918,5.0,3.0,4.0,39.0,3.9,1,2,1.0,0,0.03,0
45,2530,9.0,9.0,5.0,37.0,3.4,0,0,1.0,0,0.0,0
46,7169,5.0,3.0,4.0,44.0,3.2,1,0,1.0,0,0.02,0
47,19083,5.0,6.0,3.0,44.0,3.8,0,0,1.0,0,0.0,0
48,19869,4.0,3.0,2.0,37.0,2.5,1,0,1.0,0,0.19,0
49,13090,9.0,9.0,5.0,43.0,3.7,1,0,1.0,0,0.0,0
50,18319,3.0,3.0,4.0,36.0,2.6,0,0,1.0,0,0.34,1
51,3178,8.0,7.0,3.0,37.0,3.4,0,0,1.0,0,0.0,0
52,13349,9.0,8.0,4.0,35.0,3.7,1,0,1.0,0,0.0,0
53,8288,2.0,2.0,2.0,38.0,3.6,1,0,1.0,0,0.03,0
54,226,4.0,6.0,3.0,42.0,3.5,0,0,1.0,0,0.0,0
55,15984,2.0,1.0,5.0,41.0,3.1,1,0,1.0,0,0.15939894255408868,0
