instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
0,823,1,1,2,1,1,3,1,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,0,0,1,0,1,2,1,0,0.01,0
1,1049,0,0,0,0,0,2,0,1,1,1,2,0,1,0,0,0,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0.14,0
2,294,0,2,0,1,0,4,0,1,0,0,2,1,1,1,1,0,2,1,2,0,2,0,0,0,1,0,2,2,0,0,0.39,1
3,684,1,0,1,0,0,1,0,1,0,1,2,0,0,1,1,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0.36,1
4,879,1,0,0,0,0,3,1,1,1,0,1,1,0,2,1,1,1,1,2,1,2,0,2,0,1,0,2,2,1,0,0.21,0
5,324,0,1,1,2,2,2,2,0,0,0,0,1,1,1,1,0,0,0,2,0,2,0,2,2,1,0,1,1,1,0,0.29,0
6,1109,1,0,1,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,1,1,2,2,1,2,0,0,0,0,0,0,0.36,1
7,725,0,1,1,1,1,1,1,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,1,0,1,0,2,2,0,0,0.0,0
8,683,1,0,1,2,2,3,0,1,1,0,0,1,1,1,1,0,2,1,2,0,0,0,2,0,1,0,1,2,0,0,0.05,0
9,824,1,1,2,1,1,3,1,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,0,1,1,0,1,2,0,0,0.0,0
10,762,0,0,1,1,1,3,1,0,0,0,1,1,1,2,1,0,2,1,2,1,1,1,1,1,1,0,1,1,0,0,0.02,0
11,859,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,0,2,1,1,0,0.36,0
12,851,0,1,1,0,0,3,0,1,1,1,2,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0.18,1
13,359,0,0,0,0,0,5,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0.08,0
14,413,1,0,1,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0.31,0
15,632,1,0,0,0,0,1,0,1,1,1,2,1,1,1,1,1,1,1,2,1,1,0,1,0,1,0,2,2,0,0,0.06,0
16,963,0,0,1,0,0,4,1,1,1,1,1,1,1,3,1,0,2,1,2,1,1,1,0,0,1,1,1,1,0,0,0.04,0
17,751,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0.29,0
18,33,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0.33,0
19,724,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,1,0,0,0,0.33,0
20,693,1,2,1,2,2,3,0,1,0,0,0,1,0,2,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0.21,0
21,495,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,2,1,1,1,1,1,1,1,0,0,1,1,0,0,0.38,1
22,536,1,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0,2,1,2,1,1,0,1,1,0,0,1,1,0,0,0.3,0
23,175,0,0,1,0,0,2,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0.09,0
24,1044,0,0,0,0,0,2,0,1,1,0,2,0,1,1,1,1,1,1,1,1,1,1,0,2,1,0,0,1,1,0,0.3,1
25,1095,1,0,1,1,1,2,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0.23,0
26,484,0,1,3,1,1,2,3,1,1,1,2,1,1,2,1,0,2,1,1,1,1,2,1,1,1,0,1,1,0,0,0.23,0
27,829,0,0,1,0,0,3,1,0,0,0,0,1,1,3,1,0,1,1,2,1,2,2,2,2,1,0,2,1,1,0,0.23,0
