instance_index,original_test_index,sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,predicted_class,prediction_score,target_student
0,376,0,18,0,1,1,1,2,1,2,0,2,3,0,1,0,0,1,0,0,1,0,4,5,5,1,2,2,0,1,0.12,0
1,142,1,18,1,1,3,1,3,2,0,0,2,1,0,1,0,0,1,0,0,1,1,3,3,4,4,5,4,2,1,0.25,0
2,162,1,15,1,0,2,1,3,1,0,0,4,1,0,1,0,0,0,0,0,1,0,4,5,5,2,5,5,0,1,0.31,0
3,351,1,20,0,0,3,2,3,1,0,2,1,1,2,1,0,0,1,0,0,0,0,5,5,3,1,1,5,0,1,0.42,0
4,120,0,15,0,1,1,2,0,2,0,0,1,2,0,1,0,0,0,1,0,1,0,3,2,3,1,2,1,0,1,0.1,0
5,512,0,18,0,1,1,1,0,1,1,0,1,2,1,1,1,0,0,0,0,1,1,4,3,2,1,1,5,9,1,0.57,1
6,11,0,15,0,1,2,1,3,1,3,1,3,3,0,1,1,0,1,0,0,1,0,5,2,2,1,1,4,0,1,0.11,0
7,131,0,18,0,1,2,1,3,1,3,0,1,2,3,1,1,0,1,0,1,1,1,5,4,5,1,3,5,10,1,0.31,1
8,384,1,19,0,1,3,2,0,2,2,2,1,1,0,1,1,0,0,1,0,0,1,5,3,4,2,2,5,0,1,0.13,0
9,159,0,15,0,1,1,2,0,1,0,0,1,2,0,1,1,0,0,1,0,1,0,4,3,2,1,1,5,6,1,0.18,0
10,575,0,18,0,0,4,3,3,2,0,0,1,1,0,1,1,0,0,0,0,1,0,5,4,4,3,4,2,8,1,0.34,0
11,132,0,17,1,0,2,1,2,1,0,0,3,1,0,1,1,0,0,0,0,1,0,3,2,2,1,2,5,8,1,0.15,0
12,610,0,19,0,0,1,1,0,4,0,2,2,2,3,1,1,0,1,0,1,0,1,3,5,4,1,4,1,0,1,0.32,1
13,563,1,17,0,1,2,2,2,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,2,1,2,3,5,0,1,0.61,1
14,495,0,16,0,1,3,3,2,1,3,0,1,1,0,1,0,0,1,0,1,1,1,4,5,4,1,1,4,0,1,0.23,0
15,562,0,16,1,1,2,2,2,2,0,1,1,2,0,1,0,0,1,0,0,0,1,5,4,3,1,1,1,0,1,0.1,0
16,79,0,16,0,1,3,4,0,1,0,0,1,2,0,1,1,0,0,0,0,1,0,2,4,3,1,2,3,14,1,0.17,0
17,274,0,17,0,1,1,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,1,4,3,2,1,1,4,10,1,0.1,0
18,134,0,17,1,1,2,2,2,1,0,1,1,1,0,1,1,0,0,0,0,1,1,3,4,4,1,3,5,2,1,0.13,0
19,532,1,16,0,1,2,1,1,2,1,0,2,2,0,1,0,0,0,1,0,1,1,4,2,2,1,4,5,2,1,0.16,1
20,192,1,16,0,1,4,2,4,2,1,0,1,1,0,1,1,0,1,0,0,1,1,4,3,3,3,4,3,8,1,0.17,0
21,282,1,18,0,1,3,2,3,1,0,0,2,1,0,1,0,0,0,0,1,1,0,4,4,5,2,4,5,8,1,0.44,1
22,138,1,15,0,1,3,4,0,0,0,0,4,2,0,1,1,0,0,0,0,0,1,5,3,3,1,1,5,2,1,0.19,0
23,609,0,18,0,1,1,2,0,4,0,1,2,2,0,1,1,0,0,0,1,0,0,4,1,1,1,1,4,0,1,0.21,0
24,242,1,18,1,1,2,1,0,1,0,0,4,2,0,0,1,0,1,0,0,1,1,4,3,2,4,5,3,2,1,0.22,0
25,478,0,16,0,1,1,1,0,1,0,1,2,2,3,0,1,0,0,0,0,0,0,3,4,3,1,1,1,0,1,0.36,1
26,533,0,16,1,1,2,1,2,2,1,0,1,2,0,1,0,0,0,0,0,1,1,3,2,2,1,1,3,0,1,0.13,0
27,528,0,17,0,1,2,2,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,5,1,3,1,2,5,5,1,0.11,1
28,573,0,17,0,1,1,1,2,4,0,0,1,1,0,1,1,0,1,0,0,0,0,4,3,2,1,2,5,9,1,0.16,0
29,503,0,16,0,1,1,1,2,1,0,2,1,4,0,0,1,0,1,0,0,1,0,2,2,1,1,1,5,0,1,0.12,0
30,78,1,17,0,1,2,1,2,1,2,0,2,1,3,0,1,0,1,0,1,1,0,4,5,1,1,1,3,0,1,0.24,0
31,297,1,17,0,1,2,2,2,2,1,0,2,1,0,1,0,0,0,1,1,0,0,5,2,2,1,1,4,0,1,0.3,0
32,54,0,15,1,0,3,3,2,1,1,0,1,1,0,1,0,0,0,0,0,1,0,5,3,4,4,4,1,0,1,0.11,0
33,370,0,19,1,0,1,1,2,1,0,2,3,2,2,1,1,0,0,1,0,1,1,5,3,4,1,1,4,2,1,0.4,1
34,644,0,19,0,1,2,3,3,1,0,0,1,3,1,1,0,0,1,1,0,1,0,5,4,2,1,2,5,4,1,0.37,0
35,155,1,17,0,1,2,1,2,1,2,0,1,1,0,1,1,0,0,0,0,1,0,5,4,5,1,2,5,22,1,0.16,1
36,587,0,18,1,1,2,2,3,2,0,0,1,2,1,1,1,0,1,0,0,1,0,2,3,3,1,2,4,3,1,0.47,1
37,447,1,17,0,1,2,1,2,1,1,0,3,1,0,1,0,0,1,0,1,0,1,5,5,5,5,5,3,8,1,0.34,1
38,200,1,16,0,1,1,2,3,2,1,0,1,1,0,1,1,0,1,0,0,1,1,3,3,3,1,2,3,0,1,0.13,0
39,405,0,19,1,0,2,3,0,1,2,2,2,1,1,1,0,0,0,0,1,1,0,2,2,3,3,4,5,16,1,0.24,0
40,627,1,18,1,1,1,2,0,2,1,1,3,1,0,1,1,0,1,0,1,1,1,4,3,3,2,3,3,3,1,0.42,0
41,260,0,16,0,1,1,2,2,1,0,0,1,1,0,1,0,0,0,0,1,1,0,5,3,5,1,2,5,4,1,0.59,0
42,185,1,16,0,1,1,0,2,1,3,0,2,2,0,1,1,0,1,0,0,1,1,4,3,2,1,1,3,0,1,0.15,0
43,425,0,15,0,1,1,1,0,2,1,0,1,1,1,1,1,0,0,0,0,0,1,4,1,3,1,1,2,6,1,0.51,0
44,361,1,19,0,1,4,2,1,1,0,0,2,2,0,1,1,0,1,0,0,1,1,5,4,4,1,1,1,9,1,0.15,0
45,461,0,16,0,1,1,1,0,1,1,0,2,1,0,1,0,0,1,0,0,1,1,4,2,2,4,3,2,0,1,0.3,0
46,317,0,17,1,1,2,2,3,1,0,0,2,2,0,0,1,0,0,0,0,1,1,4,4,4,2,3,5,6,1,0.11,0
47,250,1,17,1,1,2,2,2,1,2,1,1,2,0,1,0,0,1,1,0,1,1,4,4,2,5,5,4,0,1,0.14,0
48,9,1,15,0,1,3,4,2,1,2,0,1,2,0,1,1,0,1,0,0,1,0,5,5,1,1,1,5,0,1,0.17,0
49,624,0,17,0,1,1,1,2,2,3,0,3,1,1,1,1,0,0,0,0,1,1,5,2,1,1,2,1,0,1,0.35,1
50,310,0,18,0,1,2,1,2,1,3,0,2,2,0,1,1,0,0,0,1,1,1,4,3,5,1,2,3,12,1,0.19,0
51,455,0,15,0,1,2,1,0,1,2,0,1,2,0,0,1,0,0,1,0,1,0,4,4,2,3,3,2,0,1,0.11,1
52,466,1,15,0,1,3,1,2,2,2,0,2,1,0,1,1,0,0,0,0,0,0,3,2,3,1,3,4,0,1,0.28,0
53,646,0,18,0,1,1,1,2,1,0,0,2,2,0,1,0,0,1,0,0,0,0,1,1,1,1,1,5,6,1,0.29,1
54,172,1,16,0,1,3,3,2,2,0,1,1,2,1,1,1,0,0,0,0,1,1,4,5,5,4,4,5,0,1,0.39,1
55,423,0,16,0,1,1,3,0,1,1,1,2,1,0,1,1,0,0,0,1,1,1,4,3,3,1,3,5,11,1,0.47,0
56,31,1,15,0,1,4,4,3,2,3,0,2,2,0,1,1,0,1,0,0,1,0,4,3,1,1,1,5,2,1,0.14,0
57,403,0,17,0,1,2,1,3,1,0,0,2,2,0,1,1,0,1,0,0,1,1,4,3,4,2,2,1,10,1,0.1,0
58,285,1,16,0,1,2,1,2,1,0,0,2,1,0,1,0,0,1,1,0,0,0,3,3,2,1,3,3,2,1,0.22,0
59,548,0,17,0,0,1,1,0,4,1,0,1,2,0,1,0,0,1,0,0,1,1,4,5,5,1,2,3,2,1,0.12,0
60,212,0,17,0,1,4,4,3,0,2,0,2,1,1,1,1,0,0,0,0,1,0,4,2,4,2,3,2,30,1,0.25,0
61,635,0,17,0,1,3,1,0,1,3,0,1,2,0,1,1,0,1,1,0,1,0,4,5,4,2,3,1,10,1,0.12,1
62,252,0,16,0,0,4,1,2,1,2,0,1,2,0,1,0,0,1,0,0,1,1,5,3,3,1,2,5,0,1,0.26,0
