instance_index,original_test_index,sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,predicted_class,prediction_score,target_student
0,43,1,15,0,1,2,2,3,2,0,1,1,1,0,0,1,0,0,0,0,1,0,5,4,1,1,1,1,0,0,0.09,0
1,150,0,15,0,0,3,3,3,2,2,0,1,2,0,1,0,0,0,1,0,0,1,1,3,2,2,3,1,24,0,0.06,1
2,190,0,16,0,1,2,2,3,1,3,0,2,2,0,1,0,0,1,1,0,1,0,3,4,4,1,4,5,0,0,0.03,0
3,48,1,15,0,1,4,2,4,1,2,0,1,2,0,1,1,0,0,0,0,0,0,4,3,3,2,2,5,4,0,0.04,0
4,85,0,15,0,1,4,4,3,2,3,1,2,2,0,1,0,0,0,0,0,1,1,4,4,4,2,3,5,4,0,0.06,0
5,439,0,15,0,1,3,3,2,2,0,1,2,1,0,1,0,0,0,1,0,1,0,4,1,3,1,1,4,0,0,0.04,0
6,332,0,18,0,1,2,2,0,4,1,0,1,3,0,1,1,0,0,0,0,1,0,4,3,3,1,2,2,0,0,0.03,0
7,276,1,16,0,1,2,1,2,1,0,0,3,1,0,1,0,0,0,0,0,1,0,4,3,3,1,1,4,7,0,0.08,0
8,156,0,15,0,1,1,1,2,2,0,1,1,2,0,1,1,0,0,0,0,1,0,4,4,2,1,2,5,0,0,0.06,0
9,13,1,15,0,1,4,3,4,1,0,0,2,2,0,1,1,0,0,0,0,1,0,5,4,3,1,2,3,0,0,0.0,0
10,594,0,18,0,1,4,4,4,0,3,0,2,2,0,1,0,0,1,1,0,1,0,4,3,5,1,2,1,0,0,0.04,0
11,82,0,15,1,1,3,2,3,1,3,0,1,2,0,1,1,0,0,0,0,1,0,4,4,4,1,1,5,4,0,0.03,0
12,593,0,18,1,0,1,2,0,1,3,0,2,2,0,1,0,0,0,0,0,1,0,4,4,3,1,2,4,0,0,0.09,0
13,363,0,18,0,1,3,4,2,1,0,0,1,1,0,1,1,0,1,0,0,1,1,5,4,4,1,1,1,4,0,0.08,0
14,266,0,17,1,0,4,2,4,1,0,0,1,2,0,1,1,0,1,0,0,0,0,4,3,2,1,1,4,4,0,0.09,0
15,57,1,15,0,1,4,4,4,3,3,0,1,2,0,1,1,0,1,0,0,0,0,3,2,2,1,1,5,8,0,0.05,0
16,300,0,18,0,1,4,3,3,1,2,1,1,2,0,1,1,0,0,0,0,1,1,3,1,2,1,3,2,2,0,0.02,0
17,267,1,17,1,1,4,3,1,1,0,0,2,2,0,1,0,0,1,0,0,1,1,2,5,5,1,4,5,8,0,0.06,0
18,391,0,17,0,1,3,4,3,1,0,0,1,3,0,1,0,0,0,0,0,1,0,4,4,5,1,3,5,8,0,0.06,0
19,336,1,18,0,1,4,2,4,1,2,0,1,2,0,1,1,0,1,0,0,1,1,4,3,2,1,4,5,2,0,0.08,0
20,529,0,16,1,1,4,4,3,2,1,1,2,1,0,1,1,0,0,0,0,0,0,5,1,3,1,2,5,1,0,0.06,0
21,396,1,18,1,1,3,4,3,1,2,0,1,2,0,1,0,0,1,0,0,1,1,4,3,3,1,3,5,6,0,0.02,0
22,373,0,17,1,1,2,2,3,2,0,0,1,3,0,1,1,0,1,0,0,1,0,3,3,2,2,2,3,0,0,0.03,0
23,119,1,15,0,1,3,4,2,1,3,1,1,1,0,1,0,0,0,0,0,1,0,3,4,3,1,2,4,2,0,0.08,0
24,402,0,17,0,1,4,3,1,1,3,0,1,3,0,1,1,0,1,0,0,1,1,4,4,3,1,3,4,0,0,0.0,0
25,538,0,16,1,1,2,2,2,1,0,0,1,3,0,1,1,0,0,1,0,0,1,4,3,3,2,2,5,2,0,0.01,0
26,209,0,17,1,1,2,4,3,2,0,1,1,2,0,1,0,0,1,0,0,1,1,4,3,2,1,1,5,8,0,0.02,0
27,474,1,15,1,1,1,3,0,1,3,1,3,1,0,1,1,0,1,0,0,1,0,4,2,4,3,5,3,2,0,0.05,0
28,295,1,19,1,0,4,3,3,4,3,0,1,2,0,1,1,0,0,0,0,1,0,4,3,1,1,1,1,4,0,0.09,0
29,5,1,16,1,1,4,3,3,1,3,0,1,2,0,1,1,0,1,0,0,1,0,5,4,2,1,2,5,6,0,0.03,0
30,553,1,17,1,0,1,0,2,1,2,0,1,1,0,1,0,0,0,0,0,0,1,4,1,2,1,1,5,4,0,0.07,0
31,615,0,17,1,0,3,2,3,1,3,0,2,2,0,1,0,0,0,0,0,0,1,1,2,3,1,2,5,0,0,0.07,0
32,462,0,15,0,1,1,1,0,4,0,1,3,2,0,1,1,0,0,0,0,0,0,4,2,1,1,2,2,0,0,0.07,0
33,151,1,16,0,1,4,4,3,2,0,0,1,3,0,1,1,0,1,0,0,1,0,5,3,3,1,3,5,0,0,0.05,0
34,356,0,17,0,1,4,4,4,0,0,0,1,1,0,1,0,0,1,0,0,1,0,4,4,4,1,1,5,2,0,0.03,0
35,217,0,17,0,1,2,2,2,1,3,0,1,1,0,1,1,0,0,0,0,1,0,5,3,2,1,2,3,21,0,0.05,0
