instance_index,original_test_index,predicted_probability,SHAP_famsize,SHAP_Pstatus,SHAP_Medu,SHAP_Fedu,SHAP_Mjob,SHAP_Fjob,SHAP_reason,SHAP_guardian,SHAP_traveltime,SHAP_studytime,SHAP_failures,SHAP_schoolsup,SHAP_famsup,SHAP_paid,SHAP_activities,SHAP_nursery,SHAP_higher,SHAP_internet,SHAP_romantic,SHAP_famrel,SHAP_freetime,SHAP_goout,SHAP_Dalc,SHAP_Walc,SHAP_absences
0,376,0.12,-0.005058267507121047,-2.2713656873766044e-05,0.028315817234873586,0.02165732694057885,-0.00966832952558743,-0.016707450185254578,-0.05447255948266138,0.0024235484162231135,-0.009617210656515884,-0.07797530752752753,-0.07455582243979333,-0.005709056025913036,0.001825238836750966,-0.008757191962488945,-0.01115605217121043,-5.768883936520066e-06,-0.038818743057819564,-0.005629488921196806,-0.008935140471828248,-0.04926269798473922,0.022244620488558832,-0.005912681558526845,-0.022872381213747867,-0.041653579978155414,-0.012119479849224749
1,142,0.25,-0.047659979018402875,0.000555759777635086,-0.007239651507234768,0.02060571534462722,-0.016607479170241003,-0.0026693612373689833,0.002223904587147327,0.007851600706786655,-0.014285838427395506,0.034639043449664036,-0.07004925385268677,-0.0006720182767276637,-0.003821832232637379,-0.004209424619805671,-0.01142325853082211,0.00240579911920155,-0.057296589943009346,-0.01682413197722873,0.0019270975782315553,-0.007047314797514013,-0.03611018236261046,-0.023590931643447926,0.01552377549425279,0.0007361503553239288,-0.019404969958874068
2,162,0.31,-0.013557758062481258,-0.026026941299038136,-0.023308347128265416,0.03783189063248687,-0.038897347890246264,-0.020361005249360457,0.008762516436965719,0.001544345432290052,-0.0014626057332102242,0.03845271140860229,-0.06750097319941264,-0.002761867635993239,0.0018495945760523308,-0.006102252384913433,-0.010901302828311737,0.00024523560265741,-0.054098664000072,-0.006077034816072091,-0.009860317326491532,-0.027475159164087173,0.03143579465327363,0.007390586566161418,-0.01307378589461681,0.006769066016758771,-0.0052597498558132815
3,351,0.42,0.005060001040590779,-0.02246828074803369,-0.029154888826097937,0.008702559242565959,-0.01467067733367428,-0.025997247019314735,0.023582401756612123,-0.061188380259890436,-0.033060246041634545,0.03897287485847374,0.20051646410742496,-0.0020993868628276396,-0.011813000640960466,-0.0036300303902921257,-0.011976375386623382,0.0014701147902029482,-0.027961188346873084,-0.0054630932341954855,-0.007099551282436588,4.756620481734925e-05,0.00946121712902445,-0.030831939245149476,-0.015450268767256586,-0.041065637818912586,-0.02632637806867635
4,120,0.1,-0.0028222065460373306,-0.0010378832544966448,0.008665519562436209,-0.018446734144112385,0.006024790126554666,-0.019579906514803586,0.017662826403932658,0.009322854194364925,-0.011017842018925056,-0.03152346628282978,-0.08939031288879952,-0.003137787089995213,-0.00273555573883395,-0.009728637056754212,-0.0010855482227091304,-0.052502510375745125,-0.04049622698246206,-0.009013124133053406,-0.006119243178810507,-0.0019184227885856429,-0.04207685340117823,-0.03055848126706043,-0.015953685118158093,-0.03118259482552626,-0.023792339601549212
5,512,0.57,-0.0003099281947131398,-0.0015773425514289637,0.04350286428673525,0.013262679027347575,-0.00923890520872279,-0.0022261461105720884,0.014271141266698161,-0.007778117910549357,-0.020216302019682934,-0.010508880193744349,0.2006484593438425,0.004323026719902338,-0.006416875308037985,-0.00439805571611946,-0.006424435599620686,0.007204945446922098,-0.032141963409535776,-0.006456211808187901,2.493339764045841e-05,-0.033639537440752605,-0.009507622100089728,-0.03186780699801007,-0.004769951463482218,-0.024444668839322323,-0.0037586697596534756
6,11,0.11,-0.0018585956120715742,-0.001072964396953741,-0.02413584901285215,0.030214569430282914,-0.021756664383961722,-0.019559939755170834,-0.03446157314914981,-0.043360831940917936,-0.000756705325462093,-0.055117486583250386,-0.06268962559908876,-0.0011494950686025947,-0.0166948466464361,-0.002948085615468771,-0.007029099414515211,-0.0018357405674757498,-0.02931800673266931,-0.0020639513626664516,-0.01039309710483311,0.023909331080161147,-0.027202641678005596,-0.0285107323507751,-0.013776831839489117,-0.019761751975368676,-0.02111275553839668
7,131,0.31,-0.008423327078473623,-0.002884932918818795,-0.02272736235780976,0.007335215474156228,-0.036105318518709746,-0.027987301067404595,-0.14511539847946126,-0.0011175316062637037,-0.002956928516635768,-0.04751379089913687,0.09804135902616169,0.00031499341882150364,-0.01438874009171655,-0.0018028454336565575,-0.018146035761844526,0.00042446139479676613,0.09967078421393367,-0.0018749146858920472,-0.0028663855245281756,0.0144357313895383,-0.01814954846301738,-0.010028996896716685,-0.022495384805978697,-0.015451865958085734,-0.012629306996395175
8,384,0.13,-0.0035749864918296387,-0.006699792446734226,-0.02121096414683384,-0.02231666973237474,-0.0045234421528747935,0.002991575712592926,-0.03795733993053852,-0.03222443652527562,-0.017107133641171144,0.027862196691026905,-0.06713686068041334,-0.00608531874080699,-0.007374234836952585,-0.00476686653316985,-0.0026998063908080035,-0.030113804564552402,-0.0534133616770671,0.014993702567454527,0.0038918722676291994,0.015754165132770417,-0.03421274494078298,-0.01129219623203665,-0.024176529026648432,-0.02411029375297432,-0.02694010107076621
9,159,0.18,-0.006226242448137637,-0.0032341338329880333,0.03139282063595411,-0.021354445605221224,0.009594030902645906,-0.007621370003213149,0.014687426467593561,0.005262205062819501,-0.020943791967534566,-0.01007227917528251,-0.10542319263150991,-0.0010025222753074232,-0.006042822919874873,-0.008747790203351717,-0.0013277068951371121,-0.036269744119722475,-0.044217413292156324,-0.004016184535151925,-0.004479065298427871,-0.024335949088123886,-0.011634464850040665,-0.026137273143871237,-0.012442845772633397,-0.034416045991958126,0.006565429837493815
10,575,0.34,0.006399671543140917,-0.011506004193959625,-0.023047548778790436,-0.045428914424184695,-0.013829222040320029,0.017278732046451018,-0.003239667233301334,0.0017629313118653796,-0.006362622226541117,0.03877944550019354,-0.07095523194953263,-0.002999112683147147,-0.0007018093830322371,-0.00484238869759775,-0.007622466583491217,0.0009125996317351279,-0.051076278993648645,-0.005479403304763833,-0.014910106394745526,0.02092439660298721,-0.023277439289281686,-0.006632585522985542,0.002627096525769486,0.012283732790281778,0.028498824603761897
11,132,0.15,-0.01839753933851579,-0.03153748955780855,-0.033624672748211515,0.025723614336593596,-0.008705205237909236,-0.013592671400858222,0.010374041316348639,-0.0008482751365949544,-0.009070806592373309,0.013790302602166533,-0.08399231370576656,0.0011420150161436065,-0.005473727944942139,-0.0035620509345331507,0.00019735140327331184,-0.00270210413204015,-0.057018755207460414,-0.005166042968465446,-0.006642237017463455,0.0019959913334130783,-0.04450616299280217,-0.029244833248557485,-0.007986283180635639,-0.022033976545108188,-0.021561539261029706
