feature,male_pct,female_pct,diff,male_count,female_count
age,0.0,0.0,0.0,0,0
amount,71.42857142857143,69.23076923076923,2.197802197802204,15,9
credit_history,76.19047619047619,69.23076923076923,6.959706959706963,16,9
duration,61.904761904761905,69.23076923076923,-7.326007326007321,13,9
employment_duration,47.61904761904761,61.53846153846154,-13.919413919413927,10,8
foreign_worker,0.0,0.0,0.0,0,0
housing,14.285714285714285,30.76923076923077,-16.483516483516485,3,4
installment_rate,28.57142857142857,30.76923076923077,-2.1978021978022007,6,4
job,4.761904761904762,0.0,4.761904761904762,1,0
number_credits,4.761904761904762,7.6923076923076925,-2.9304029304029307,1,1
other_debtors,0.0,7.6923076923076925,-7.6923076923076925,0,1
other_installment_plans,9.523809523809524,0.0,9.523809523809524,2,0
people_liable,0.0,0.0,0.0,0,0
present_residence,4.761904761904762,0.0,4.761904761904762,1,0
property,33.33333333333333,23.076923076923077,10.256410256410252,7,3
purpose,38.095238095238095,38.46153846153847,-0.3663003663003721,8,5
savings,33.33333333333333,46.15384615384615,-12.820512820512825,7,6
sex,0.0,0.0,0.0,0,0
status,100.0,100.0,0.0,21,13
telephone,4.761904761904762,0.0,4.761904761904762,1,0
