feature,male_pct,female_pct,diff,male_count,female_count
age,57.14285714285714,76.92307692307693,-19.780219780219795,12,10
amount,100.0,100.0,0.0,21,13
credit_history,95.23809523809523,100.0,-4.761904761904773,20,13
duration,100.0,100.0,0.0,21,13
employment_duration,85.71428571428571,100.0,-14.285714285714292,18,13
foreign_worker,23.809523809523807,15.384615384615385,8.424908424908422,5,2
housing,80.95238095238095,92.3076923076923,-11.355311355311358,17,12
installment_rate,61.904761904761905,53.84615384615385,8.058608058608058,13,7
job,95.23809523809523,84.61538461538461,10.622710622710613,20,11
number_credits,28.57142857142857,30.76923076923077,-2.1978021978022007,6,4
other_debtors,52.38095238095239,69.23076923076923,-16.84981684981684,11,9
other_installment_plans,71.42857142857143,69.23076923076923,2.197802197802204,15,9
people_liable,33.33333333333333,15.384615384615385,17.948717948717942,7,2
present_residence,52.38095238095239,46.15384615384615,6.227106227106233,11,6
property,52.38095238095239,23.076923076923077,29.30402930402931,11,3
purpose,100.0,92.3076923076923,7.692307692307693,21,12
savings,66.66666666666666,84.61538461538461,-17.948717948717956,14,11
sex,23.809523809523807,7.6923076923076925,16.117216117216113,5,1
status,100.0,100.0,0.0,21,13
telephone,47.61904761904761,46.15384615384615,1.46520146520146,10,6
