feature,male_pct,female_pct,diff,male_count,female_count
age,0.0,0.0,0.0,0,0
amount,80.95238095238095,69.23076923076923,11.721611721611723,17,9
credit_history,76.19047619047619,92.3076923076923,-16.117216117216117,16,12
duration,61.904761904761905,69.23076923076923,-7.326007326007321,13,9
employment_duration,76.19047619047619,61.53846153846154,14.65201465201465,16,8
foreign_worker,0.0,0.0,0.0,0,0
housing,28.57142857142857,23.076923076923077,5.494505494505493,6,3
installment_rate,28.57142857142857,23.076923076923077,5.494505494505493,6,3
job,33.33333333333333,23.076923076923077,10.256410256410252,7,3
number_credits,28.57142857142857,7.6923076923076925,20.879120879120876,6,1
other_debtors,4.761904761904762,23.076923076923077,-18.315018315018314,1,3
other_installment_plans,0.0,7.6923076923076925,-7.6923076923076925,0,1
people_liable,9.523809523809524,0.0,9.523809523809524,2,0
present_residence,14.285714285714285,15.384615384615385,-1.0989010989011003,3,2
property,33.33333333333333,23.076923076923077,10.256410256410252,7,3
purpose,38.095238095238095,38.46153846153847,-0.3663003663003721,8,5
savings,33.33333333333333,46.15384615384615,-12.820512820512825,7,6
sex,0.0,0.0,0.0,0,0
status,100.0,100.0,0.0,21,13
telephone,0.0,0.0,0.0,0,0
