instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_value,other_feature_1_name,other_feature_1_value,other_feature_2_name,other_feature_2_value,other_feature_3_name,other_feature_3_value,other_feature_4_name,other_feature_4_value,other_feature_5_name,other_feature_5_value,other_feature_6_name,other_feature_6_value,other_feature_7_name,other_feature_7_value,other_feature_8_name,other_feature_8_value,other_feature_9_name,other_feature_9_value,other_feature_10_name,other_feature_10_value,other_feature_11_name,other_feature_11_value,other_feature_12_name,other_feature_12_value,other_feature_13_name,other_feature_13_value,other_feature_14_name,other_feature_14_value,other_feature_15_name,other_feature_15_value,other_feature_16_name,other_feature_16_value
0,438,0.58,status,1,1,1.0,duration,2,1,42.0,credit_history,3,-1,5.0,purpose,6.0,amount,3394.0,savings,1.0,employment_duration,1.0,installment_rate,4.0,other_debtors,2.0,present_residence,4.0,property,3.0,other_installment_plans,3.0,housing,2.0,number_credits,2.0,job,1.0,people_liable,1.0,telephone,1.0,age,65.0,sex,0.0,foreign_worker,1.0
1,89,0.51,status,1,1,1.0,credit_history,2,1,1.0,property,3,-1,1.0,duration,12.0,purpose,6.0,amount,1108.0,savings,1.0,employment_duration,4.0,installment_rate,4.0,other_debtors,1.0,present_residence,3.0,other_installment_plans,3.0,housing,2.0,number_credits,2.0,job,3.0,people_liable,1.0,telephone,1.0,age,28.0,sex,0.0,foreign_worker,1.0
2,29,0.84,status,1,1,1.0,duration,2,1,60.0,property,3,1,4.0,credit_history,4.0,purpose,9.0,amount,6836.0,savings,1.0,employment_duration,5.0,installment_rate,3.0,other_debtors,1.0,present_residence,4.0,other_installment_plans,3.0,housing,2.0,number_credits,2.0,job,3.0,people_liable,1.0,telephone,2.0,age,63.0,sex,0.0,foreign_worker,1.0
3,466,0.63,status,1,1,1.0,amount,2,-1,1659.0,duration,3,1,24.0,credit_history,4.0,purpose,4.0,savings,1.0,employment_duration,2.0,installment_rate,4.0,other_debtors,1.0,present_residence,2.0,property,3.0,other_installment_plans,3.0,housing,1.0,number_credits,1.0,job,2.0,people_liable,1.0,telephone,2.0,age,29.0,sex,1.0,foreign_worker,1.0
4,929,0.5,status,1,1,1.0,duration,2,-1,12.0,purpose,3,1,1.0,credit_history,4.0,amount,1344.0,savings,1.0,employment_duration,3.0,installment_rate,4.0,other_debtors,1.0,present_residence,2.0,property,1.0,other_installment_plans,3.0,housing,2.0,number_credits,2.0,job,2.0,people_liable,2.0,telephone,1.0,age,43.0,sex,0.0,foreign_worker,1.0
5,958,0.55,status,1,1,1.0,amount,2,-1,4006.0,purpose,3,1,1.0,duration,28.0,credit_history,3.0,savings,1.0,employment_duration,3.0,installment_rate,3.0,other_debtors,1.0,present_residence,2.0,property,3.0,other_installment_plans,3.0,housing,2.0,number_credits,1.0,job,2.0,people_liable,1.0,telephone,1.0,age,45.0,sex,0.0,foreign_worker,1.0
6,624,0.56,status,1,1,1.0,amount,2,-1,2600.0,duration,3,-1,18.0,credit_history,3.0,purpose,4.0,savings,1.0,employment_duration,3.0,installment_rate,4.0,other_debtors,1.0,present_residence,4.0,property,4.0,other_installment_plans,3.0,housing,3.0,number_credits,2.0,job,3.0,people_liable,1.0,telephone,1.0,age,65.0,sex,0.0,foreign_worker,1.0
7,938,0.81,duration,1,1,60.0,status,2,1,2.0,property,3,1,4.0,credit_history,3.0,purpose,7.0,amount,6288.0,savings,1.0,employment_duration,3.0,installment_rate,4.0,other_debtors,1.0,present_residence,4.0,other_installment_plans,3.0,housing,3.0,number_credits,1.0,job,3.0,people_liable,1.0,telephone,1.0,age,42.0,sex,0.0,foreign_worker,1.0
8,706,0.55,duration,1,1,48.0,status,2,1,2.0,employment_duration,3,-1,4.0,credit_history,3.0,purpose,1.0,amount,6560.0,savings,2.0,installment_rate,3.0,other_debtors,1.0,present_residence,2.0,property,2.0,other_installment_plans,3.0,housing,2.0,number_credits,1.0,job,3.0,people_liable,1.0,telephone,1.0,age,24.0,sex,0.0,foreign_worker,1.0
9,569,0.82,status,1,1,1.0,duration,2,1,48.0,savings,3,1,1.0,credit_history,3.0,purpose,4.0,amount,6758.0,employment_duration,3.0,installment_rate,3.0,other_debtors,1.0,present_residence,2.0,property,3.0,other_installment_plans,3.0,housing,2.0,number_credits,1.0,job,3.0,people_liable,1.0,telephone,2.0,age,31.0,sex,1.0,foreign_worker,1.0
10,166,0.65,status,1,1,1.0,purpose,2,-1,3.0,savings,3,1,1.0,duration,18.0,credit_history,3.0,amount,1131.0,employment_duration,1.0,installment_rate,4.0,other_debtors,1.0,present_residence,2.0,property,3.0,other_installment_plans,3.0,housing,2.0,number_credits,1.0,job,3.0,people_liable,1.0,telephone,1.0,age,33.0,sex,1.0,foreign_worker,1.0
11,887,0.85,amount,1,1,15672.0,duration,2,1,48.0,status,3,1,2.0,credit_history,3.0,purpose,9.0,savings,1.0,employment_duration,3.0,installment_rate,2.0,other_debtors,1.0,present_residence,2.0,property,3.0,other_installment_plans,3.0,housing,2.0,number_credits,1.0,job,3.0,people_liable,1.0,telephone,2.0,age,23.0,sex,0.0,foreign_worker,1.0
12,501,0.58,status,1,1,1.0,property,2,1,4.0,installment_rate,3,-1,2.0,duration,36.0,credit_history,3.0,purpose,2.0,amount,5493.0,savings,1.0,employment_duration,5.0,other_debtors,1.0,present_residence,4.0,other_installment_plans,3.0,housing,3.0,number_credits,1.0,job,3.0,people_liable,2.0,telephone,1.0,age,42.0,sex,0.0,foreign_worker,1.0
13,835,0.81,status,1,1,1.0,credit_history,2,1,1.0,purpose,3,1,1.0,duration,12.0,amount,1082.0,savings,1.0,employment_duration,3.0,installment_rate,4.0,other_debtors,1.0,present_residence,4.0,property,3.0,other_installment_plans,1.0,housing,2.0,number_credits,2.0,job,3.0,people_liable,1.0,telephone,1.0,age,48.0,sex,0.0,foreign_worker,1.0
14,141,0.63,status,1,1,2.0,property,2,1,4.0,duration,3,1,36.0,credit_history,3.0,purpose,4.0,amount,4795.0,savings,1.0,employment_duration,2.0,installment_rate,4.0,other_debtors,1.0,present_residence,1.0,other_installment_plans,3.0,housing,2.0,number_credits,1.0,job,4.0,people_liable,1.0,telephone,2.0,age,30.0,sex,1.0,foreign_worker,1.0
15,205,0.56,amount,1,1,10623.0,status,2,1,1.0,credit_history,3,-1,5.0,duration,30.0,purpose,2.0,savings,1.0,employment_duration,5.0,installment_rate,3.0,other_debtors,1.0,present_residence,4.0,property,4.0,other_installment_plans,3.0,housing,3.0,number_credits,3.0,job,4.0,people_liable,2.0,telephone,2.0,age,38.0,sex,0.0,foreign_worker,1.0
16,927,0.85,status,1,1,1.0,amount,2,1,10297.0,duration,3,1,48.0,credit_history,3.0,purpose,2.0,savings,1.0,employment_duration,4.0,installment_rate,4.0,other_debtors,1.0,present_residence,4.0,property,4.0,other_installment_plans,2.0,housing,3.0,number_credits,3.0,job,3.0,people_liable,2.0,telephone,2.0,age,39.0,sex,0.0,foreign_worker,1.0
17,972,0.56,credit_history,1,1,2.0,status,2,1,1.0,installment_rate,3,-1,1.0,duration,24.0,purpose,1.0,amount,1193.0,savings,1.0,employment_duration,1.0,other_debtors,2.0,present_residence,4.0,property,4.0,other_installment_plans,3.0,housing,1.0,number_credits,2.0,job,1.0,people_liable,1.0,telephone,1.0,age,29.0,sex,1.0,foreign_worker,1.0
18,373,0.58,amount,1,1,13756.0,status,2,-1,4.0,savings,3,-1,5.0,duration,60.0,credit_history,5.0,purpose,1.0,employment_duration,5.0,installment_rate,2.0,other_debtors,1.0,present_residence,4.0,property,4.0,other_installment_plans,1.0,housing,3.0,number_credits,1.0,job,4.0,people_liable,1.0,telephone,2.0,age,63.0,sex,0.0,foreign_worker,1.0
19,610,0.51,status,1,1,1.0,duration,2,-1,12.0,purpose,3,-1,5.0,credit_history,3.0,amount,741.0,savings,2.0,employment_duration,1.0,installment_rate,4.0,other_debtors,1.0,present_residence,3.0,property,2.0,other_installment_plans,3.0,housing,2.0,number_credits,1.0,job,3.0,people_liable,1.0,telephone,1.0,age,22.0,sex,1.0,foreign_worker,1.0
20,503,0.59,status,1,1,2.0,credit_history,2,-1,5.0,other_installment_plans,3,1,1.0,duration,24.0,purpose,4.0,amount,1216.0,savings,2.0,employment_duration,2.0,installment_rate,4.0,other_debtors,1.0,present_residence,4.0,property,4.0,housing,2.0,number_credits,2.0,job,3.0,people_liable,2.0,telephone,1.0,age,38.0,sex,0.0,foreign_worker,1.0
21,809,0.54,credit_history,1,1,1.0,status,2,1,2.0,property,3,-1,1.0,duration,15.0,purpose,1.0,amount,1778.0,savings,1.0,employment_duration,2.0,installment_rate,2.0,other_debtors,1.0,present_residence,1.0,other_installment_plans,3.0,housing,1.0,number_credits,2.0,job,1.0,people_liable,1.0,telephone,1.0,age,26.0,sex,1.0,foreign_worker,1.0
22,775,0.59,status,1,1,1.0,savings,2,-1,5.0,purpose,3,1,1.0,duration,24.0,credit_history,3.0,amount,1371.0,employment_duration,3.0,installment_rate,4.0,other_debtors,1.0,present_residence,4.0,property,1.0,other_installment_plans,3.0,housing,1.0,number_credits,1.0,job,3.0,people_liable,1.0,telephone,1.0,age,25.0,sex,1.0,foreign_worker,1.0
23,853,0.86,status,1,1,1.0,credit_history,2,1,2.0,property,3,1,4.0,duration,18.0,purpose,1.0,amount,1442.0,savings,1.0,employment_duration,4.0,installment_rate,4.0,other_debtors,1.0,present_residence,4.0,other_installment_plans,3.0,housing,3.0,number_credits,2.0,job,2.0,people_liable,2.0,telephone,1.0,age,32.0,sex,0.0,foreign_worker,1.0
24,979,0.68,credit_history,1,1,2.0,status,2,1,2.0,purpose,3,1,1.0,duration,15.0,amount,1264.0,savings,2.0,employment_duration,3.0,installment_rate,2.0,other_debtors,1.0,present_residence,2.0,property,2.0,other_installment_plans,3.0,housing,1.0,number_credits,1.0,job,3.0,people_liable,1.0,telephone,1.0,age,25.0,sex,0.0,foreign_worker,1.0
