instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_value,other_feature_1_name,other_feature_1_value,other_feature_2_name,other_feature_2_value,other_feature_3_name,other_feature_3_value,other_feature_4_name,other_feature_4_value
0,12823,0.51,decile3,1,1,1.0,ugpa,2,-1,3.7,lsat,3,-1,34.0,decile1,3.0,fam_inc,2.0,fulltime,2.0,gender,0.0,race,0.0
1,10083,0.9916002814465206,decile3,1,1,2.0,decile1,2,1,2.0,fam_inc,3,1,4.0,lsat,34.0,ugpa,2.9,fulltime,1.0,gender,0.0,race,0.0
2,3378,0.5177948543359533,decile3,1,1,1.0,lsat,2,-1,36.0,ugpa,3,-1,3.4,decile1,2.0,fam_inc,2.0,fulltime,1.0,gender,1.0,race,2.0
3,6400,0.64,fulltime,1,1,2.0,decile3,2,-1,7.0,decile1,3,1,4.0,fam_inc,3.0,lsat,37.0,ugpa,3.2,gender,0.0,race,0.0
4,10483,0.9916002814465206,decile3,1,1,2.0,decile1,2,1,2.0,fam_inc,3,1,4.0,lsat,34.0,ugpa,2.9,fulltime,1.0,gender,0.0,race,3.0
5,4184,0.5958401626042205,ugpa,1,1,3.3,decile3,2,-1,9.0,lsat,3,1,40.0,decile1,9.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,0.0
6,10723,0.67,ugpa,1,1,2.8,decile1,2,1,3.0,lsat,3,-1,40.0,decile3,4.0,fam_inc,4.0,fulltime,1.0,gender,0.0,race,3.0
7,18004,0.507226849524525,lsat,1,-1,34.0,decile1,2,1,3.0,fam_inc,3,1,4.0,decile3,3.0,ugpa,2.6,fulltime,1.0,gender,0.0,race,0.0
8,18048,0.72,ugpa,1,1,2.6,fam_inc,2,1,4.0,decile1,3,1,7.0,decile3,7.0,lsat,40.0,fulltime,1.0,gender,1.0,race,0.0
9,17231,0.6932775262395137,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.0,fam_inc,4.0,lsat,34.0,fulltime,1.0,gender,1.0,race,0.0
