instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_mentioned,other_feature_0_value,other_feature_1_name,other_feature_1_mentioned,other_feature_1_value,other_feature_2_name,other_feature_2_mentioned,other_feature_2_value,other_feature_3_name,other_feature_3_mentioned,other_feature_3_value,other_feature_4_name,other_feature_4_mentioned,other_feature_4_value,other_feature_5_name,other_feature_5_mentioned,other_feature_5_value,other_feature_6_name,other_feature_6_mentioned,other_feature_6_value,other_feature_7_name,other_feature_7_mentioned,other_feature_7_value
0,12823,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
1,10083,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
2,3378,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
3,6400,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
4,10483,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
5,4184,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
6,10723,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
7,18004,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
8,18048,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
9,17231,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
10,17276,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
11,2376,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
