instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_mentioned,other_feature_0_value,other_feature_1_name,other_feature_1_mentioned,other_feature_1_value,other_feature_2_name,other_feature_2_mentioned,other_feature_2_value,other_feature_3_name,other_feature_3_mentioned,other_feature_3_value,other_feature_4_name,other_feature_4_mentioned,other_feature_4_value,other_feature_5_name,other_feature_5_mentioned,other_feature_5_value,other_feature_6_name,other_feature_6_mentioned,other_feature_6_value,other_feature_7_name,other_feature_7_mentioned,other_feature_7_value,other_feature_8_name,other_feature_8_mentioned,other_feature_8_value,other_feature_9_name,other_feature_9_mentioned,other_feature_9_value,other_feature_10_name,other_feature_10_mentioned,other_feature_10_value,other_feature_11_name,other_feature_11_mentioned,other_feature_11_value,other_feature_12_name,other_feature_12_mentioned,other_feature_12_value,other_feature_13_name,other_feature_13_mentioned,other_feature_13_value,other_feature_14_name,other_feature_14_mentioned,other_feature_14_value,other_feature_15_name,other_feature_15_mentioned,other_feature_15_value,other_feature_16_name,other_feature_16_mentioned,other_feature_16_value,other_feature_17_name,other_feature_17_mentioned,other_feature_17_value,other_feature_18_name,other_feature_18_mentioned,other_feature_18_value,other_feature_19_name,other_feature_19_mentioned,other_feature_19_value,other_feature_20_name,other_feature_20_mentioned,other_feature_20_value,other_feature_21_name,other_feature_21_mentioned,other_feature_21_value,other_feature_22_name,other_feature_22_mentioned,other_feature_22_value,other_feature_23_name,other_feature_23_mentioned,other_feature_23_value,other_feature_24_name,other_feature_24_mentioned,other_feature_24_value,other_feature_25_name,other_feature_25_mentioned,other_feature_25_value,other_feature_26_name,other_feature_26_mentioned,other_feature_26_value,other_feature_27_name,other_feature_27_mentioned,other_feature_27_value
0,376,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
1,142,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
2,162,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
3,351,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
4,120,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
5,512,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
6,11,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
7,131,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
8,384,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
9,159,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
10,575,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
11,132,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
12,610,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
13,563,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
14,495,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
15,562,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
