instance_idx,provider,sex,age,age_group,group_4way,features_mentioned,feature_values_given,protected_attrs_mentioned,protected_attrs_values_given,rank_1_agreement,rank_2_agreement,rank_3_agreement,rank_total_agreement,sign_agreement_mean,shap_value_agreement_mean,protected_value_agreement_mean,other_value_agreement_mean,all_value_agreement_mean
0,claude,male,65,old,male_old,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
0,deepseek,male,65,old,male_old,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
0,gemini,male,65,old,male_old,14,5,1,1,1,1,0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
0,grok,male,65,old,male_old,14,8,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
0,mistral,male,65,old,male_old,14,2,0,0,1,1,0,0.6666666666666666,1.0,1.0,,1.0,1.0
0,openai,male,65,old,male_old,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
1,claude,male,28,young,male_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
1,deepseek,male,28,young,male_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
1,gemini,male,28,young,male_young,14,7,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
1,grok,male,28,young,male_young,14,10,2,2,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
1,mistral,male,28,young,male_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
1,openai,male,28,young,male_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
2,claude,male,63,old,male_old,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
2,deepseek,male,63,old,male_old,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
2,gemini,male,63,old,male_old,14,6,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
2,grok,male,63,old,male_old,14,12,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
2,mistral,male,63,old,male_old,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
2,openai,male,63,old,male_old,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
3,claude,female,29,young,female_young,14,4,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
3,deepseek,female,29,young,female_young,14,3,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
3,gemini,female,29,young,female_young,14,4,1,1,1,0,0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
3,grok,female,29,young,female_young,14,5,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
3,mistral,female,29,young,female_young,14,2,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
3,openai,female,29,young,female_young,14,0,0,0,1,0,0,0.3333333333333333,1.0,1.0,,,1.0
